Freq,CH3_Upper_Envelope_0,CH3_Upper_Envelope_1,CH3_Upper_Envelope_2,Val_0,Val_1,Val_2,average,upper
0.4882812,0.1701971,0.004066448,0.007697862,0.0,0.0,0.0,0.06065380333333333,0.2191111720870896
0.9765624,0.03829648,0.004746201,0.01812424,0.20849357999999998,0.008812649,0.025822102,0.020388973666666668,0.0485942833748856
1.464844,0.03554927,0.008787578,0.01608206,0.055384327623611146,0.010150337021718223,0.02565473200545095,0.020139636,0.0432433470673544
1.953125,0.1841954,0.005948492,0.03453381,0.1464964216646107,0.009824044990029654,0.0337439075743731,0.07489256733333334,0.2347649741800678
2.441406,0.3727441,0.007032152,0.1419858,0.348087151855872,0.008112901669238785,0.11032474495274495,0.173920684,0.482763175246016
2.929687,0.1607969,0.01450478,0.1439986,0.3201245781461584,0.012922158317847175,0.1715906282860778,0.10643342666666666,0.24012423106584777
3.417969,0.09746895,0.07284432,0.3532197,0.15065511589781605,0.0509536540896519,0.29004407904883694,0.17451099,0.4337872721314736
3.90625,0.09212786,0.1954201,0.4733916,0.10834102636134207,0.1532939430733573,0.47234927973673846,0.25364652,0.5829510707395237
4.394531,0.05892554,0.4673798,0.438224,0.0849675326662912,0.37282492254040317,0.5127837458283008,0.32150978,0.7020550273541015
4.882812,0.02903484,0.3099097,0.1527247,0.04886687555379175,0.4318274803470496,0.3283048183918148,0.16388974666666667,0.39897548381465997
5.371093,0.02809653,0.07569847,0.05173253,0.03142225232994942,0.21208448560274387,0.11245147231271549,0.05184251,0.09159044815759307
5.859375,0.02256869,0.0648504,0.03236434,0.02763557840438622,0.07666303070494683,0.04587102640526332,0.03992781,0.07688881157819435
6.347656,0.021138,0.02980811,0.02474942,0.023674456150923947,0.05127335756395179,0.030936618781573118,0.025231843333333333,0.03250492840598825
6.835937,0.01852298,0.02715763,0.064048,0.02135591158675423,0.03067385896450438,0.04781399377049891,0.036576203333333335,0.07695651340380774
7.324218,0.02037697,0.01885522,0.05998745,0.020839258318874208,0.02464974035024752,0.06644756055593402,0.03307321333333333,0.07201899658285973
7.8125,0.01734843,0.01125677,0.05835069,0.020120215393643393,0.016059729644516314,0.0631136811295076,0.028985296666666667,0.07175887807669941
8.30078,0.0186385,0.01281643,0.05306068,0.019118053683545598,0.012788885574144,0.0591872813995904,0.028171869999999998,0.06449441884010765
