Freq,CH3_Upper_Envelope_0,CH3_Upper_Envelope_1,CH3_Upper_Envelope_2,Val_0,Val_1,Val_2
0.4882812,0.1701971,0.004066448,0.007697862,0.0,0.0,0.0
0.9765624,0.03829648,0.004746201,0.01812424,0.20849357999999998,0.008812649,0.025822102
1.464844,0.03554927,0.008787578,0.01608206,0.055384327623611146,0.010150337021718223,0.02565473200545095
1.953125,0.1841954,0.005948492,0.03453381,0.1464964216646107,0.009824044990029654,0.0337439075743731
2.441406,0.3727441,0.007032152,0.1419858,0.348087151855872,0.008112901669238785,0.11032474495274495
2.929687,0.1607969,0.01450478,0.1439986,0.3201245781461584,0.012922158317847175,0.1715906282860778
3.417969,0.09746895,0.07284432,0.3532197,0.15065511589781605,0.0509536540896519,0.29004407904883694
3.90625,0.09212786,0.1954201,0.4733916,0.10834102636134207,0.1532939430733573,0.47234927973673846
4.394531,0.05892554,0.4673798,0.438224,0.0849675326662912,0.37282492254040317,0.5127837458283008
4.882812,0.02903484,0.3099097,0.1527247,0.04886687555379175,0.4318274803470496,0.3283048183918148
5.371093,0.02809653,0.07569847,0.05173253,0.03142225232994942,0.21208448560274387,0.11245147231271549
5.859375,0.02256869,0.0648504,0.03236434,0.02763557840438622,0.07666303070494683,0.04587102640526332
6.347656,0.021138,0.02980811,0.02474942,0.023674456150923947,0.05127335756395179,0.030936618781573118
6.835937,0.01852298,0.02715763,0.064048,0.02135591158675423,0.03067385896450438,0.04781399377049891
7.324218,0.02037697,0.01885522,0.05998745,0.020839258318874208,0.02464974035024752,0.06644756055593402
7.8125,0.01734843,0.01125677,0.05835069,0.020120215393643393,0.016059729644516314,0.0631136811295076
8.30078,0.0186385,0.01281643,0.05306068,0.019118053683545598,0.012788885574144,0.0591872813995904
8.789062,0.01435798,0.02124018,0.05848019,0.017468726342690685,0.01802997168939666,0.05905105435657492
9.277343,0.01549836,0.01195425,0.06804241,0.01575751240033464,0.017519282080356812,0.06677581506717098
9.765624,0.02283766,0.01960612,0.07573302,0.02017685219660845,0.01661072069453938,0.07567127731605482
10.25391,0.02925735,0.02456667,0.04946057,0.02734989305287096,0.02319072560590598,0.06572666551757982
10.74219,0.0355922,0.02255761,0.04121191,0.03396880738735274,0.024684143383996937,0.04749510225519827
11.23047,0.05919304,0.03129442,0.09288653,0.04954682398388038,0.02814992135468187,0.07009690330681173
11.71875,0.05145957,0.03413204,0.1030137,0.05773179009593989,0.03413554054839201,0.10220880427588962
12.20703,0.03985025,0.03131451,0.113038,0.047557193046809595,0.03408674130118399,0.11252691556057601
12.69531,0.03549612,0.0102198,0.136483,0.03918010869657484,0.021597839158505383,0.12975090773554254
13.18359,0.03245282,0.01016246,0.09756001,0.03528117729675762,0.010583095612214275,0.12152232147958184
13.67187,0.03212023,0.007386206,0.07690518,0.033482319501118435,0.009099307556796745,0.09046342449990101
14.16016,0.03462176,0.007327462,0.06860188,0.034562838043310826,0.007619582875893348,0.07535191786966963
14.64844,0.06246071,0.004939138,0.1233124,0.050215065961359204,0.006344792506016881,0.09926599754957573
15.13672,0.136283,0.00646629,0.05068135,0.10268424112162114,0.005892803947593055,0.08989676291468579
15.625,0.118563,0.007890154,0.05654884,0.13153340849272496,0.007409776936482936,0.055344609623154815
16.11328,0.2075735,0.006267269,0.06656116,0.16816411976704,0.007299920668078079,0.0634785888256
16.60156,0.1845043,0.009434663,0.07851583,0.20197945798024985,0.008088873470017277,0.07473662575541416
