Freq,CH3_Upper_Envelope_0,CH3_Upper_Envelope_1,CH3_Upper_Envelope_2,CH3_Upper_Envelope_3,CH3_Upper_Envelope_4,CH3_Upper_Envelope_5,CH3_Upper_Envelope_6,CH3_Upper_Envelope_7,CH3_Upper_Envelope_8,CH3_Upper_Envelope_9,CH3_Upper_Envelope_10,CH3_Upper_Envelope_11,CH3_Upper_Envelope_12,CH3_Upper_Envelope_13,CH3_Upper_Envelope_14,CH3_Upper_Envelope_15,CH3_Upper_Envelope_16,CH3_Upper_Envelope_17,CH3_Upper_Envelope_18,CH3_Upper_Envelope_19,CH3_Upper_Envelope_20,CH3_Upper_Envelope_21,CH3_Upper_Envelope_22,CH3_Upper_Envelope_23,CH3_Upper_Envelope_24,CH3_Upper_Envelope_25,CH3_Upper_Envelope_26,CH3_Upper_Envelope_27,CH3_Upper_Envelope_28,CH3_Upper_Envelope_29,CH3_Upper_Envelope_30,CH3_Upper_Envelope_31,CH3_Upper_Envelope_32,CH3_Upper_Envelope_33,CH3_Upper_Envelope_34,CH3_Upper_Envelope_35,CH3_Upper_Envelope_36,CH3_Upper_Envelope_37,CH3_Upper_Envelope_38,CH3_Upper_Envelope_39,CH3_Upper_Envelope_40,CH3_Upper_Envelope_41,CH3_Upper_Envelope_42,CH3_Upper_Envelope_43,CH3_Upper_Envelope_44,CH3_Upper_Envelope_45,CH3_Upper_Envelope_46,CH3_Upper_Envelope_47,CH3_Upper_Envelope_48,CH3_Upper_Envelope_49,CH3_Upper_Envelope_50,CH3_Upper_Envelope_51,CH3_Upper_Envelope_52,CH3_Upper_Envelope_53,CH3_Upper_Envelope_54,CH3_Upper_Envelope_55,CH3_Upper_Envelope_56,CH3_Upper_Envelope_57,CH3_Upper_Envelope_58,CH3_Upper_Envelope_59,CH3_Upper_Envelope_60,CH3_Upper_Envelope_61,CH3_Upper_Envelope_62,CH3_Upper_Envelope_63,CH3_Upper_Envelope_64,CH3_Upper_Envelope_65,CH3_Upper_Envelope_66,CH3_Upper_Envelope_67,CH3_Upper_Envelope_68,CH3_Upper_Envelope_69,CH3_Upper_Envelope_70,average,upper,Val_0,Val_1,Val_2,Val_3,Val_4,Val_5,Val_6,Val_7,Val_8,Val_9,Val_10,Val_11,Val_12,Val_13,Val_14,Val_15,Val_16,Val_17,Val_18,Val_19,Val_20,Val_21,Val_22,Val_23,Val_24,Val_25,Val_26,Val_27,Val_28,Val_29,Val_30,Val_31,Val_32,Val_33,Val_34,Val_35,Val_36,Val_37,Val_38,Val_39,Val_40,Val_41,Val_42,Val_43,Val_44,Val_45,Val_46,Val_47,Val_48,Val_49,Val_50,Val_51,Val_52,Val_53,Val_54,Val_55,Val_56,Val_57,Val_58,Val_59,Val_60,Val_61,Val_62,Val_63,Val_64,Val_65,Val_66,Val_67,Val_68,Val_69,Val_70,average_val,upper_val
9.843133,1.517199,3.713798,0.7441034,7.012643,0.5676172,0.762084,0.1213959,0.2328714,0.4734501,1.036747,2.263851,1.648773,1.028618,0.7134185,0.9315609,0.1587381,6.566768,0.09339967,0.1166561,0.3320699,0.1239053,0.1184456,1.083165,1.904531,0.1038825,4.076736e-06,1.613273,2.012817,0.09171844,2.522539,1.352932,0.09679858,0.09629067,1.371201,0.5056322,2.044222,0.9633769,2.385884,0.290511,0.6729202,0.7468832,1.989741,6.238281e-06,1.691446,1.24244e-05,1.461731,0.09193458,0.1218281,2.601689,0.1341711,0.4996138,0.5396646,2.316879,3.72504,0.9913853,0.1039033,2.3283,0.070949,0.4120243,0.5451492,0.1639451,1.199319,2.707218,0.4838788,0.1111499,4.540009,2.438698,0.1153863,2.138835,0.5400031,0.1748812,1.1883871292875634,3.5338510223284403,1.5197604977972614,3.7135417949922047,0.7460088778675746,6.973201372758687,0.5730344790192016,0.7735172599583447,0.1226369713673625,0.23246728630074642,0.47943582410098046,1.0513707896182691,2.296407630100152,1.6689346777377874,1.037572465851008,0.7211305016370209,0.9262292101935382,0.16043193001845285,6.6057842885962135,0.09519017217815291,0.11751554653907426,0.3371363047743541,0.12566407026993054,0.12095206520975953,1.0964379077437427,1.9433174478221222,0.10643437807591806,4.188233858764169e-06,1.5989214117536834,2.0549950468932536,0.09355343156011474,2.4978116181993757,1.3411655178180015,0.09730674201024396,0.09757492692290436,1.4028782811807425,0.5098871485591548,2.0912275042808632,0.9738185894651306,2.425012918010425,0.2946167099737282,0.6817751215403781,0.7543950081148306,1.9904035111552612,6.371045384573244e-06,1.6790339692301002,1.2714591517963692e-05,1.4816551897295758,0.09357845532069115,0.12358881779642351,2.6357101413368915,0.13497582094945443,0.49713654575468563,0.5422110193338053,2.3611290276404464,3.783867540938098,0.9874613834332284,0.10573718252480876,2.3340817564023824,0.07155571983185346,0.4218768629575777,0.5489686014165668,0.1644754004331008,1.2030311128911482,2.7561802975146708,0.4887137904209992,0.11254381787429908,4.522495601526394,2.473143963033964,0.11701375241861638,2.1824838276673275,0.554267977495822,0.17631291244013356,1.1972212816922503,3.5498403637269735
9.986304,1.558147,3.796742,0.7616096,7.244514,0.570661,0.7618774,0.1220733,0.2395335,0.4750501,1.037238,2.257413,1.651234,1.036584,0.7178618,0.9695786,0.1603643,6.649838,0.09251157,0.118097,0.3308963,0.1240185,0.1165743,1.085231,1.88412,0.1008979,3.745138e-06,1.688841,2.006929,0.09171767,2.642648,1.421165,0.09915887,0.09657768,1.336343,0.5104101,2.00965,0.9735791,2.369658,0.2906232,0.6742786,0.7546165,2.046289,7.519167e-06,1.77458,1.22815e-05,1.518862,0.09124079,0.1220744,2.604083,0.135642,0.5180184,0.5475301,2.291058,3.696834,1.024137,0.1030616,2.384626,0.0721838,0.4094272,0.55425,0.1676542,1.229816,2.686224,0.5010903,0.1104881,4.682412,2.437512,0.1153942,2.116288,0.5334476,0.1771189,1.2039468736028873,3.5934149408386737,1.5600388647183778,3.809891405722142,0.7638069989886351,7.23226557934999,0.5774173803083227,0.7730639129160198,0.12350526228980144,0.23963807775885995,0.4811481944448379,1.052075833042183,2.2935134965795956,1.674003241860493,1.0476204575010823,0.7260493272320511,0.9643960410474999,0.16187191484304847,6.7044225331621545,0.09430768433470117,0.11908382328789015,0.33630461027626063,0.12576495896353326,0.11921916362654046,1.099967949655054,1.9218789706440014,0.10387949282213296,3.967822623838162e-06,1.6750720652995343,2.0391071399108394,0.09305211862104475,2.6201580126392683,1.4072234911124337,0.09940385173931918,0.09783683584679798,1.3734629755269996,0.5154104533921873,2.056418325805818,0.9825647713296163,2.412356314639252,0.29479347612171863,0.6833970832881766,0.7616697072013963,2.0473675674767375,6.978776878875456e-06,1.7582201372217567,1.2532626958997708e-05,1.511973260864808,0.0929198523545542,0.12372506352194979,2.640745672474811,0.13686880182267172,0.5162169661523827,0.5515041187287015,2.3374803375535005,3.764913570389428,1.0224193052445398,0.10498762989027986,2.3907383840848233,0.07260735241366749,0.41669986579760737,0.5576951275857394,0.1682112502181572,1.2322337088729778,2.735945527626621,0.4996478693931293,0.11243089197067642,4.678281789039324,2.4735678887931316,0.11706863202356406,2.158507450594846,0.544532163652203,0.17856001776214953,1.213565570149307,3.615466975659051
10.13156,1.605375,3.871026,0.7799915,7.40893,0.5866136,0.7620263,0.1224204,0.245329,0.476465,1.03699,2.244054,1.649468,1.041068,0.721456,1.008122,0.1622896,6.703659,0.09160828,0.1191806,0.3290085,0.1241962,0.1144312,1.081047,1.865856,0.0994073,3.601156e-06,1.76505,2.021727,0.09400922,2.765819,1.488469,0.1023811,0.09660435,1.369887,0.5139027,1.974293,0.989735,2.349408,0.2906065,0.6753746,0.7634344,2.10067,7.943653e-06,1.868086,1.203231e-05,1.667265,0.09181444,0.122278,2.621883,0.1360112,0.5358844,0.5527104,2.265702,3.653085,1.04852,0.1020886,2.440286,0.07379533,0.4181622,0.5642912,0.1712199,1.264435,2.666131,0.5210875,0.1090527,4.798931,2.430503,0.1160214,2.151879,0.5323883,0.1793858,1.2213283140439295,3.6457295287113096,1.6047685387066124,3.8896498423280526,0.7820122460079324,7.433292992714822,0.5870538813146485,0.7730348370514256,0.12402499419064349,0.2459575389703738,0.48267769169434455,1.0521993640329796,2.283471592619251,1.674356216029474,1.0539362659658669,0.7301267140359436,1.0032336433447249,0.16367353462722545,6.773865289166042,0.09339898462263917,0.12036446322162833,0.3347517297434566,0.12591255613348043,0.11718279773878304,1.0988938216621484,1.9022606783530724,0.10160937180121896,3.726574838831263e-06,1.7520648229795528,2.043627451325335,0.09421419224011206,2.7435679866405027,1.4759780720194378,0.10223573698803883,0.09799598168986244,1.372796763387135,0.5196059819512805,2.020945764372885,0.995935763771862,2.3938536380907287,0.29484199456235255,0.6846423048503231,0.7700658710371725,2.1036393407430816,7.843867390738354e-06,1.847825238394505,1.233373352361394e-05,1.6162354394638896,0.09285893189606485,0.12395331654954625,2.6509902005266412,0.13780226873686202,0.5346161829425581,0.5581220359494363,2.3115202253806815,3.728413702589066,1.051402438525805,0.10406710832716488,2.447546430727524,0.07405123629036328,0.4198135597245988,0.5674054825625177,0.17190160026151818,1.2652655908312025,2.7151038974879995,0.5185229546070298,0.11136706771834705,4.809627039447227,2.4694114085351297,0.1173908302979761,2.1651248575308744,0.5406695195241403,0.18084512339760536,1.2302760400722321,3.672220800704336
10.27893,1.666666,3.971802,0.798329,7.545145,0.6021593,0.7624685,0.122603,0.2504358,0.4776852,1.036718,2.224313,1.648826,1.043223,0.7243736,1.047841,0.1643472,6.72781,0.09071194,0.1200068,0.3270575,0.1243644,0.1122147,1.066868,1.851236,0.09819524,3.594126e-06,1.841454,2.056237,0.09680523,2.884455,1.551636,0.1065304,0.09637531,1.406712,0.5163655,1.936687,1.010272,2.326855,0.2904561,0.6782277,0.7732804,2.150274,7.902885e-06,1.966647,1.186143e-05,1.829013,0.09458154,0.1225175,2.637386,0.1351479,0.5535848,0.5554705,2.251894,3.584108,1.060888,0.1045692,2.49476,0.07574555,0.4262749,0.5749675,0.1744985,1.303627,2.64949,0.5440531,0.1095584,4.913457,2.418564,0.1178511,2.181642,0.5287837,0.1816978,1.2382932981470562,3.6935374428787204,1.6598174612858236,3.9784534668915748,0.8006390889983872,7.585795777735611,0.6030321798912014,0.7733347744357237,0.12429371078896045,0.251488007555796,0.48401446150869165,1.0519357025196514,2.266681123504673,1.6731348945976732,1.057304170760969,0.7334300566905788,1.042934146350118,0.16569397025847946,6.813419140200029,0.09248609192289244,0.12133326661846745,0.33280444913616464,0.1260880362036054,0.11497130456153841,1.0895788965840405,1.8855797365637672,0.10023839746703371,3.649970982171551e-06,1.829481450078764,2.0686402932282886,0.09679498391849332,2.866230418949303,1.542162632785573,0.10597512548388403,0.09789333609847843,1.4084932013959353,0.5226270539297997,1.9839338488544709,1.0145491885015734,2.37214111344107,0.29475726299888666,0.6866456542496417,0.7795336482814098,2.1563883454236072,8.038517999416676e-06,1.9452558182397381,1.2120644841376848e-05,1.7735667963541648,0.0945536141868281,0.12417810331355686,2.667884210436004,0.13755164099916498,0.5526581120753369,0.5621500488788006,2.291653657101177,3.671231293280107,1.070045342150666,0.10483188473216366,2.503414695307534,0.07585802372282255,0.4283599880128529,0.5779149720867764,0.1753735472776157,1.3027080495826904,2.696470048320792,0.5403168745759784,0.11089546891707694,4.926830437999677,2.4597998856202796,0.118637162313849,2.198277412981318,0.538303711667305,0.18316789559297877,1.2476991883874888,3.7230106445742766
10.42844,1.721209,4.060113,0.816915,7.672109,0.6161203,0.7632852,0.1222179,0.2544071,0.4787005,1.035897,2.199102,1.649412,1.042244,0.7275847,1.086915,0.1662341,6.723166,0.08984493,0.1207399,0.3266978,0.1246159,0.1101279,1.044468,1.842463,0.09671555,3.420253e-06,1.917946,2.10681,0.1001197,2.994971,1.619772,0.1114446,0.09581811,1.434855,0.5172614,1.890905,1.033334,2.297148,0.2901672,0.68115,0.7840112,2.193642,8.159449e-06,2.074632,1.290093e-05,1.99382,0.09745695,0.1226887,2.650494,0.1331667,0.5714598,0.5564942,2.244537,3.485204,1.067429,0.1058938,2.547893,0.07789614,0.4329295,0.5858974,0.1774283,1.347581,2.638057,0.5698432,0.1092412,5.030025,2.406943,0.1188439,2.198445,0.5241642,0.1840447,1.2537069459243944,3.736035562561219,1.7185763092559245,4.074370759534309,0.8193690948065605,7.719296673085623,0.6179999139902693,0.7739731137009397,0.1241909452830207,0.2560929927568336,0.48514830285389626,1.0513808913281828,2.2438774231656406,1.6731059112534086,1.0579003593506326,0.7365387260177858,1.0829033207075056,0.16769485015327468,6.823312161744462,0.0915915608620158,0.12212421507627738,0.3316321796496328,0.12630089511904447,0.11278831860631408,1.071022995381815,1.8737124583765041,0.09887291181414797,3.5582025823096366e-06,1.9070407783689545,2.1117998593569562,0.09989462993761022,2.982471973028321,1.608768521797502,0.11057275460578095,0.09749446434914917,1.4414492055826822,0.5243306506142176,1.9416327145179508,1.0366654191944102,2.3456302283078103,0.2945343166385996,0.6895751202599881,0.7899714276244707,2.203549755229387,8.14798263919299e-06,2.0500302840256714,1.2561267832274371e-05,1.9392186040045023,0.09741587259839302,0.1243863974328067,2.682396869479605,0.1361086566025841,0.5707043490141482,0.5640692735560997,2.2809164425499535,3.5860685904700196,1.079636992151907,0.10676212250302318,2.5579999207758,0.07793822633599022,0.43585088784221704,0.5888750073089319,0.17852283837870284,1.3448852923173908,2.6822279476891078,0.5650491213955149,0.11099105162813637,5.044056406069503,2.447847695192009,0.12006889850402716,2.2218983140404687,0.5341316653715902,0.18553116504830752,1.264123553000384,3.768819143279022
10.58012,1.764379,4.152024,0.8464642,7.728406,0.6265877,0.7646468,0.1210749,0.2574703,0.479501,1.036394,2.169756,1.653241,1.051044,0.7305237,1.125706,0.1675313,6.692555,0.08902914,0.121513,0.3278251,0.1250701,0.1085168,1.02002,1.840923,0.0949966,3.215655e-06,1.997926,2.172581,0.1039508,3.089794,1.692043,0.1167968,0.09489753,1.450449,0.5173099,1.926285,1.058155,2.248611,0.2897351,0.6842988,0.79609,2.229048,8.254547e-06,2.189046,1.38202e-05,2.152177,0.1001252,0.1227717,2.680685,0.1315664,0.5895743,0.5561073,2.243644,3.368891,1.064636,0.1058694,2.598738,0.08013125,0.4379334,0.5968412,0.1800378,1.396338,2.632733,0.5979825,0.1093838,5.161639,2.397535,0.1189215,2.206359,0.5217268,0.1863295,1.2688861677521408,3.7713458797351707,1.768142661345321,4.1657906128069015,0.8437863928595265,7.812256519757509,0.6303914950347319,0.7750777638764762,0.12341572752664828,0.25966128765606356,0.4860691941546386,1.0512160713836394,2.2162011721292925,1.6753447811158717,1.0618672703951888,0.7396581773020701,1.1224016101411143,0.16930998231029762,6.805425263343319,0.09073788243919513,0.122888214936654,0.3320214157030198,0.1266588215648745,0.1109124261809053,1.0472578246871056,1.8684801315594664,0.09725028635433487,3.366213112841422e-06,1.9864138674931247,2.1708170304916172,0.10351933647122676,3.086633469234133,1.6799924110317557,0.11578056741794555,0.09674478431466259,1.463635143726195,0.5248094874475953,1.9363552105012831,1.060954687310854,2.305938170573931,0.2941684433278612,0.6926545177349632,0.8015417602318277,2.243508661065318,8.32636747967673e-06,2.1628462589495645,1.3554892291445317e-05,2.103149933242172,0.10022797546219761,0.12451529122514969,2.7043600750198498,0.13429180040216945,0.588960578096628,0.5643920558674165,2.276730439151014,3.4768933604355015,1.0815377730417972,0.10742163101978819,2.6107439643762635,0.0801629366178834,0.4417647311365842,0.5999706723456241,0.18133269376493513,1.3919144325651776,2.6737264008231336,0.5924057694671494,0.11090243291422304,5.169950065382742,2.4371791839124546,0.1206118299500213,2.234435586553694,0.5305516590650184,0.18788061689495264,1.2796419145083726,3.808287555246465
