ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Signal  14
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 2.947856E-002, 5.736431E-002, 9.831142E-002
4.882812E-001, 2.969063E-002, 5.775975E-002, 9.849940E-002
4.953834E-001, 2.990109E-002, 5.814769E-002, 9.861724E-002
5.025890E-001, 3.010320E-002, 5.852368E-002, 9.871344E-002
5.098993E-001, 3.029364E-002, 5.890851E-002, 9.893882E-002
5.173159E-001, 3.047216E-002, 5.928220E-002, 9.909575E-002
5.248405E-001, 3.063857E-002, 5.962999E-002, 9.918167E-002
5.324745E-001, 3.079272E-002, 5.995588E-002, 9.919404E-002
5.402195E-001, 3.093451E-002, 6.024416E-002, 9.939891E-002
5.480772E-001, 3.106390E-002, 6.050498E-002, 9.961160E-002
5.560491E-001, 3.118091E-002, 6.076326E-002, 1.000806E-001
5.641370E-001, 3.128701E-002, 6.102454E-002, 1.005223E-001
5.723426E-001, 3.138113E-002, 6.125931E-002, 1.009052E-001
5.806675E-001, 3.146615E-002, 6.145448E-002, 1.012269E-001
5.891135E-001, 3.215463E-002, 6.166527E-002, 1.014849E-001
5.976824E-001, 3.368220E-002, 6.186363E-002, 1.016770E-001
6.063759E-001, 3.529750E-002, 6.201691E-002, 1.018008E-001
6.151958E-001, 3.699707E-002, 6.221563E-002, 1.018542E-001
6.241440E-001, 3.877674E-002, 6.256206E-002, 1.020034E-001
6.332224E-001, 4.063169E-002, 6.291113E-002, 1.020836E-001
6.424329E-001, 4.255642E-002, 6.331005E-002, 1.020928E-001
6.517773E-001, 4.454482E-002, 6.375334E-002, 1.020290E-001
6.612576E-001, 4.659016E-002, 6.418108E-002, 1.021763E-001
6.708758E-001, 4.868518E-002, 6.457508E-002, 1.023029E-001
6.806339E-001, 5.082209E-002, 6.499766E-002, 1.023820E-001
6.905339E-001, 5.299265E-002, 6.556366E-002, 1.024472E-001
7.005780E-001, 5.518821E-002, 6.616634E-002, 1.024928E-001
7.107681E-001, 5.739980E-002, 6.678795E-002, 1.024771E-001
7.211065E-001, 5.961813E-002, 6.738207E-002, 1.024449E-001
7.315952E-001, 6.183369E-002, 6.795119E-002, 1.023529E-001
7.422365E-001, 6.403678E-002, 6.849037E-002, 1.022827E-001
7.530326E-001, 6.621757E-002, 6.904048E-002, 1.022356E-001
7.639857E-001, 6.836612E-002, 6.957252E-002, 1.021292E-001
7.750981E-001, 7.047239E-002, 7.007196E-002, 1.019923E-001
7.863722E-001, 7.252627E-002, 7.053472E-002, 1.018126E-001
7.978103E-001, 7.451757E-002, 7.104171E-002, 1.016452E-001
8.094147E-001, 7.643598E-002, 7.247796E-002, 1.014145E-001
8.211879E-001, 7.827108E-002, 7.434290E-002, 1.011238E-001
8.331323E-001, 8.001221E-002, 7.612116E-002, 1.008422E-001
8.452505E-001, 8.164846E-002, 7.780037E-002, 1.005099E-001
8.575450E-001, 8.316860E-002, 7.921394E-002, 1.001252E-001
8.700182E-001, 8.456096E-002, 8.067305E-002, 9.967087E-002
8.826730E-001, 8.581339E-002, 8.207956E-002, 9.914787E-002
8.955117E-001, 8.691317E-002, 8.336110E-002, 9.857675E-002
9.085372E-001, 8.784699E-002, 8.439513E-002, 9.794371E-002
9.217522E-001, 8.860093E-002, 8.534737E-002, 9.724514E-002
9.351594E-001, 8.916803E-002, 8.617194E-002, 9.652500E-002
9.487616E-001, 8.955076E-002, 8.697748E-002, 9.575895E-002
9.625617E-001, 8.973245E-002, 8.793838E-002, 9.505106E-002
9.765624E-001, 8.977794E-002, 8.877356E-002, 9.436688E-002
9.907669E-001, 8.970197E-002, 8.947010E-002, 9.364212E-002
1.005178E+000, 8.950496E-002, 8.989320E-002, 9.286810E-002
1.019799E+000, 8.905251E-002, 9.038777E-002, 9.207215E-002
1.034632E+000, 8.848750E-002, 9.078041E-002, 9.136856E-002
1.049681E+000, 8.790709E-002, 9.091301E-002, 9.075449E-002
1.064949E+000, 8.713872E-002, 9.104271E-002, 9.014358E-002
1.080439E+000, 8.626230E-002, 9.110462E-002, 8.949085E-002
1.096154E+000, 8.529621E-002, 9.086842E-002, 8.893019E-002
1.112098E+000, 8.438744E-002, 9.034353E-002, 8.832576E-002
1.128274E+000, 8.312400E-002, 8.958560E-002, 8.767942E-002
1.144685E+000, 8.189446E-002, 8.856887E-002, 8.698764E-002
1.161335E+000, 8.045530E-002, 8.741630E-002, 8.624838E-002
1.178227E+000, 7.947413E-002, 8.616784E-002, 8.550256E-002
1.195365E+000, 7.869570E-002, 8.474215E-002, 8.473098E-002
1.212752E+000, 7.822181E-002, 8.555786E-002, 8.390806E-002
1.230392E+000, 7.761341E-002, 8.750115E-002, 8.303680E-002
1.248288E+000, 7.675757E-002, 8.869635E-002, 8.212056E-002
1.266445E+000, 7.617284E-002, 8.917105E-002, 8.116546E-002
1.284866E+000, 7.555123E-002, 8.898645E-002, 8.017481E-002
1.303555E+000, 7.456509E-002, 8.823531E-002, 7.915141E-002
1.322515E+000, 7.347216E-002, 8.703816E-002, 7.810037E-002
1.341752E+000, 7.270162E-002, 8.553733E-002, 7.716834E-002
1.361268E+000, 7.175814E-002, 8.556763E-002, 7.621530E-002
1.381068E+000, 7.064008E-002, 8.586729E-002, 7.555252E-002
1.401156E+000, 6.911723E-002, 8.614834E-002, 7.492127E-002
1.421536E+000, 6.733437E-002, 8.646977E-002, 7.423233E-002
1.442213E+000, 6.529234E-002, 8.679194E-002, 7.348713E-002
1.463190E+000, 6.323035E-002, 8.706061E-002, 7.304538E-002
1.484473E+000, 6.101583E-002, 8.729099E-002, 7.285787E-002
1.506065E+000, 5.896974E-002, 8.749122E-002, 7.278266E-002
1.527971E+000, 5.735856E-002, 8.765068E-002, 7.273886E-002
1.550196E+000, 5.566336E-002, 8.776567E-002, 7.269472E-002
1.572744E+000, 5.438218E-002, 8.782618E-002, 7.262947E-002
1.595621E+000, 5.293359E-002, 8.783793E-002, 7.254827E-002
1.618829E+000, 5.485196E-002, 8.824046E-002, 7.237173E-002
1.642376E+000, 5.781579E-002, 8.990511E-002, 7.206525E-002
1.666265E+000, 6.039253E-002, 9.117638E-002, 7.286890E-002
1.690501E+000, 6.251972E-002, 9.200811E-002, 7.393112E-002
1.715090E+000, 6.417084E-002, 9.232093E-002, 7.501675E-002
1.740036E+000, 6.529614E-002, 9.186790E-002, 7.612828E-002
1.765346E+000, 6.600646E-002, 9.095330E-002, 7.723618E-002
1.791023E+000, 6.645179E-002, 8.941620E-002, 7.831950E-002
1.817074E+000, 6.646636E-002, 8.819411E-002, 7.936976E-002
1.843504E+000, 6.630166E-002, 8.817023E-002, 8.036685E-002
1.870319E+000, 6.586889E-002, 8.809581E-002, 8.128292E-002
1.897523E+000, 6.525933E-002, 8.797076E-002, 8.212490E-002
1.925123E+000, 6.456946E-002, 8.779360E-002, 8.284293E-002
1.953125E+000, 6.391254E-002, 8.755201E-002, 8.341590E-002
1.981534E+000, 6.333024E-002, 8.725229E-002, 8.383752E-002
2.010356E+000, 6.288182E-002, 8.693179E-002, 8.411777E-002
2.039597E+000, 6.257240E-002, 8.663975E-002, 8.422060E-002
2.069264E+000, 6.233785E-002, 8.762012E-002, 8.418186E-002
2.099362E+000, 6.213333E-002, 8.827565E-002, 8.420004E-002
2.129898E+000, 6.195006E-002, 8.836869E-002, 8.444463E-002
2.160878E+000, 6.167838E-002, 8.861142E-002, 8.461228E-002
2.192309E+000, 6.122340E-002, 8.865365E-002, 8.469880E-002
2.224196E+000, 6.052542E-002, 8.834476E-002, 8.549570E-002
2.256548E+000, 5.955255E-002, 8.769051E-002, 8.624858E-002
2.289370E+000, 5.830124E-002, 8.647966E-002, 8.707865E-002
2.322670E+000, 5.681278E-002, 8.535510E-002, 8.776533E-002
2.356454E+000, 5.510983E-002, 8.555160E-002, 8.849073E-002
2.390729E+000, 5.341163E-002, 8.569270E-002, 8.926158E-002
2.425503E+000, 5.258409E-002, 8.505218E-002, 9.002101E-002
2.460783E+000, 5.403863E-002, 8.426752E-002, 9.060381E-002
2.496576E+000, 5.531405E-002, 8.392770E-002, 9.105679E-002
2.532890E+000, 5.602425E-002, 8.361196E-002, 9.134477E-002
2.569731E+000, 5.641971E-002, 8.326220E-002, 9.145049E-002
2.607109E+000, 5.697796E-002, 8.284876E-002, 9.149441E-002
2.645030E+000, 5.885612E-002, 8.240205E-002, 9.144156E-002
2.683503E+000, 6.172433E-002, 8.207339E-002, 9.113618E-002
2.722536E+000, 6.453124E-002, 8.172160E-002, 9.129345E-002
2.762136E+000, 6.723955E-002, 8.135176E-002, 9.166267E-002
2.802312E+000, 6.950527E-002, 8.094344E-002, 9.212688E-002
2.843072E+000, 7.116725E-002, 8.067587E-002, 9.286742E-002
2.884426E+000, 7.237444E-002, 8.039212E-002, 9.419905E-002
2.926381E+000, 7.329046E-002, 8.005276E-002, 9.589908E-002
2.968946E+000, 7.383220E-002, 7.964966E-002, 9.782705E-002
3.012130E+000, 7.397166E-002, 7.918237E-002, 9.984602E-002
3.055943E+000, 7.380454E-002, 7.865066E-002, 1.018356E-001
3.100393E+000, 7.331952E-002, 7.805455E-002, 1.040192E-001
3.145489E+000, 7.272961E-002, 7.821952E-002, 1.058271E-001
3.191241E+000, 7.216715E-002, 7.825429E-002, 1.074796E-001
3.237659E+000, 7.179089E-002, 7.795402E-002, 1.099863E-001
3.284751E+000, 7.171512E-002, 7.702581E-002, 1.119723E-001
3.332529E+000, 7.200620E-002, 7.600484E-002, 1.139982E-001
3.381002E+000, 7.261150E-002, 7.559759E-002, 1.150432E-001
3.430180E+000, 7.345224E-002, 7.512703E-002, 1.154149E-001
3.480073E+000, 7.439457E-002, 7.459277E-002, 1.163055E-001
3.530692E+000, 7.527765E-002, 7.400922E-002, 1.164015E-001
3.582047E+000, 7.597275E-002, 7.354025E-002, 1.155329E-001
