ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Signal  172
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 3.363390E-002, 1.660335E-001, 1.395406E-001
4.882812E-001, 3.382533E-002, 1.652697E-001, 1.384805E-001
4.953834E-001, 3.399659E-002, 1.648298E-001, 1.379304E-001
5.025890E-001, 3.414646E-002, 1.642698E-001, 1.383071E-001
5.098993E-001, 3.427368E-002, 1.638382E-001, 1.385828E-001
5.173159E-001, 3.437698E-002, 1.635111E-001, 1.388224E-001
5.248405E-001, 3.445506E-002, 1.630628E-001, 1.389494E-001
5.324745E-001, 3.450662E-002, 1.624914E-001, 1.390842E-001
5.402195E-001, 3.453032E-002, 1.617955E-001, 1.392962E-001
5.480772E-001, 3.452481E-002, 1.609738E-001, 1.393942E-001
5.560491E-001, 3.467563E-002, 1.604808E-001, 1.393740E-001
5.641370E-001, 3.488878E-002, 1.598831E-001, 1.392316E-001
5.723426E-001, 3.508139E-002, 1.591617E-001, 1.389629E-001
5.806675E-001, 3.525214E-002, 1.583156E-001, 1.385644E-001
5.891135E-001, 3.539967E-002, 1.573518E-001, 1.383842E-001
5.976824E-001, 3.552262E-002, 1.562626E-001, 1.394002E-001
6.063759E-001, 3.561955E-002, 1.550481E-001, 1.403399E-001
6.151958E-001, 3.578487E-002, 1.537220E-001, 1.412382E-001
6.241440E-001, 3.616370E-002, 1.522887E-001, 1.420515E-001
6.332224E-001, 3.653002E-002, 1.511987E-001, 1.427840E-001
6.424329E-001, 3.688354E-002, 1.505502E-001, 1.434508E-001
6.517773E-001, 3.722445E-002, 1.497800E-001, 1.440207E-001
6.612576E-001, 3.754954E-002, 1.488861E-001, 1.444893E-001
6.708758E-001, 3.797669E-002, 1.478765E-001, 1.448521E-001
6.806339E-001, 3.849021E-002, 1.467417E-001, 1.451050E-001
6.905339E-001, 3.899765E-002, 1.457811E-001, 1.452438E-001
7.005780E-001, 3.949810E-002, 1.452299E-001, 1.452645E-001
7.107681E-001, 3.999062E-002, 1.448312E-001, 1.451633E-001
7.211065E-001, 4.047421E-002, 1.446967E-001, 1.449366E-001
7.315952E-001, 4.094784E-002, 1.444550E-001, 1.445811E-001
7.422365E-001, 4.141042E-002, 1.441008E-001, 1.440937E-001
7.530326E-001, 4.187585E-002, 1.436412E-001, 1.435023E-001
7.639857E-001, 4.233428E-002, 1.430655E-001, 1.432636E-001
7.750981E-001, 4.278179E-002, 1.423787E-001, 1.428944E-001
7.863722E-001, 4.321630E-002, 1.422085E-001, 1.423915E-001
7.978103E-001, 4.363532E-002, 1.419761E-001, 1.417519E-001
8.094147E-001, 4.404052E-002, 1.416325E-001, 1.409728E-001
8.211879E-001, 4.445144E-002, 1.411764E-001, 1.400520E-001
8.331323E-001, 4.492488E-002, 1.406147E-001, 1.389942E-001
8.452505E-001, 4.538558E-002, 1.404964E-001, 1.378562E-001
8.575450E-001, 4.583051E-002, 1.402709E-001, 1.365840E-001
8.700182E-001, 4.625836E-002, 1.399350E-001, 1.375391E-001
8.826730E-001, 4.666775E-002, 1.395439E-001, 1.402803E-001
8.955117E-001, 4.706054E-002, 1.390597E-001, 1.425653E-001
9.085372E-001, 4.744314E-002, 1.384770E-001, 1.443672E-001
9.217522E-001, 4.780411E-002, 1.377764E-001, 1.456372E-001
9.351594E-001, 4.814156E-002, 1.376829E-001, 1.463393E-001
9.487616E-001, 4.845394E-002, 1.375246E-001, 1.464528E-001
9.625617E-001, 4.878277E-002, 1.372656E-001, 1.459672E-001
9.765624E-001, 4.912126E-002, 1.368961E-001, 1.449989E-001
9.907669E-001, 4.943398E-002, 1.364136E-001, 1.434751E-001
1.005178E+000, 4.971932E-002, 1.359241E-001, 1.429088E-001
1.019799E+000, 4.997562E-002, 1.359332E-001, 1.439781E-001
1.034632E+000, 5.020120E-002, 1.358447E-001, 1.444629E-001
1.049681E+000, 5.052462E-002, 1.356604E-001, 1.443470E-001
1.064949E+000, 5.085336E-002, 1.353718E-001, 1.436258E-001
1.080439E+000, 5.115446E-002, 1.350109E-001, 1.432375E-001
1.096154E+000, 5.142626E-002, 1.345388E-001, 1.450038E-001
1.112098E+000, 5.171733E-002, 1.339672E-001, 1.469460E-001
1.128274E+000, 5.204051E-002, 1.332923E-001, 1.488612E-001
1.144685E+000, 5.238142E-002, 1.336945E-001, 1.507352E-001
1.161335E+000, 5.273921E-002, 1.355977E-001, 1.525636E-001
1.178227E+000, 5.306956E-002, 1.371674E-001, 1.543416E-001
1.195365E+000, 5.337082E-002, 1.383465E-001, 1.594584E-001
1.212752E+000, 5.364128E-002, 1.390971E-001, 1.638983E-001
1.230392E+000, 5.387922E-002, 1.406293E-001, 1.674896E-001
1.248288E+000, 5.408289E-002, 1.428735E-001, 1.703108E-001
1.266445E+000, 5.425054E-002, 1.448504E-001, 1.725604E-001
1.284866E+000, 5.447799E-002, 1.464921E-001, 1.746079E-001
1.303555E+000, 5.483538E-002, 1.477166E-001, 1.763287E-001
1.322515E+000, 5.519185E-002, 1.500155E-001, 1.781892E-001
1.341752E+000, 5.559570E-002, 1.522170E-001, 1.801790E-001
1.361268E+000, 5.597857E-002, 1.541122E-001, 1.823840E-001
1.381068E+000, 5.633317E-002, 1.556059E-001, 1.849562E-001
1.401156E+000, 5.667009E-002, 1.566858E-001, 1.881047E-001
1.421536E+000, 5.698190E-002, 1.572988E-001, 1.919134E-001
1.442213E+000, 5.726128E-002, 1.574258E-001, 1.984349E-001
1.463190E+000, 5.750651E-002, 1.570607E-001, 2.060160E-001
1.484473E+000, 5.780765E-002, 1.575765E-001, 2.146508E-001
1.506065E+000, 5.808432E-002, 1.581146E-001, 2.241011E-001
1.527971E+000, 5.832633E-002, 1.582043E-001, 2.342631E-001
1.550196E+000, 5.853198E-002, 1.578057E-001, 2.448713E-001
1.572744E+000, 5.938726E-002, 1.569875E-001, 2.556657E-001
1.595621E+000, 6.049277E-002, 1.557558E-001, 2.663566E-001
1.618829E+000, 6.126088E-002, 1.540936E-001, 2.767027E-001
1.642376E+000, 6.166653E-002, 1.520166E-001, 2.869095E-001
1.666265E+000, 6.173520E-002, 1.495641E-001, 2.964430E-001
1.690501E+000, 6.162841E-002, 1.467926E-001, 3.061879E-001
1.715090E+000, 6.158776E-002, 1.437690E-001, 3.173683E-001
1.740036E+000, 6.192342E-002, 1.405698E-001, 3.276296E-001
1.765346E+000, 6.222559E-002, 1.388171E-001, 3.369459E-001
1.791023E+000, 6.249268E-002, 1.379069E-001, 3.457381E-001
1.817074E+000, 6.272863E-002, 1.365444E-001, 3.542849E-001
1.843504E+000, 6.422829E-002, 1.347047E-001, 3.626433E-001
1.870319E+000, 6.587974E-002, 1.324343E-001, 3.713214E-001
1.897523E+000, 6.780243E-002, 1.323879E-001, 3.808516E-001
1.925123E+000, 6.949962E-002, 1.322674E-001, 3.918271E-001
1.953125E+000, 7.093561E-002, 1.320587E-001, 4.048126E-001
1.981534E+000, 7.205579E-002, 1.317517E-001, 4.201183E-001
2.010356E+000, 7.284827E-002, 1.313853E-001, 4.381932E-001
2.039597E+000, 7.332665E-002, 1.321999E-001, 4.588875E-001
2.069264E+000, 7.350442E-002, 1.330632E-001, 4.817016E-001
2.099362E+000, 7.336321E-002, 1.338814E-001, 5.060703E-001
2.129898E+000, 7.292534E-002, 1.346379E-001, 5.317417E-001
2.160878E+000, 7.237791E-002, 1.353182E-001, 5.577711E-001
