ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Signal  94
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 7.884102E-002, 7.120580E-002, 5.174657E-002
4.882812E-001, 7.901391E-002, 7.089011E-002, 5.250670E-002
4.953834E-001, 7.926239E-002, 7.052083E-002, 5.326461E-002
5.025890E-001, 7.952788E-002, 7.049005E-002, 5.401937E-002
5.098993E-001, 7.976408E-002, 7.041459E-002, 5.476996E-002
5.173159E-001, 7.995494E-002, 7.028499E-002, 5.551535E-002
5.248405E-001, 8.008920E-002, 7.037978E-002, 5.625443E-002
5.324745E-001, 8.016448E-002, 7.045025E-002, 5.698602E-002
5.402195E-001, 8.017839E-002, 7.047148E-002, 5.770890E-002
5.480772E-001, 8.012953E-002, 7.044192E-002, 5.842179E-002
5.560491E-001, 8.001891E-002, 7.036015E-002, 5.912333E-002
5.641370E-001, 7.993073E-002, 7.026475E-002, 5.981211E-002
5.723426E-001, 7.996102E-002, 7.015771E-002, 6.048666E-002
5.806675E-001, 7.994724E-002, 6.999668E-002, 6.114542E-002
5.891135E-001, 7.986999E-002, 6.978049E-002, 6.178679E-002
5.976824E-001, 7.976215E-002, 6.950811E-002, 6.240910E-002
6.063759E-001, 7.977971E-002, 6.924760E-002, 6.301060E-002
6.151958E-001, 7.999092E-002, 6.920312E-002, 6.358949E-002
6.241440E-001, 8.032338E-002, 6.968527E-002, 6.414388E-002
6.332224E-001, 8.061641E-002, 7.134797E-002, 6.467183E-002
6.424329E-001, 8.085663E-002, 7.292768E-002, 6.517134E-002
6.517773E-001, 8.104157E-002, 7.440165E-002, 6.564034E-002
6.612576E-001, 8.116929E-002, 7.574792E-002, 6.607667E-002
6.708758E-001, 8.159893E-002, 7.694593E-002, 6.647817E-002
6.806339E-001, 8.200511E-002, 7.797690E-002, 6.684256E-002
6.905339E-001, 8.238357E-002, 7.882439E-002, 6.716754E-002
7.005780E-001, 8.271236E-002, 7.947484E-002, 6.745075E-002
7.107681E-001, 8.298908E-002, 7.991797E-002, 6.850316E-002
7.211065E-001, 8.328050E-002, 8.014735E-002, 6.973332E-002
7.315952E-001, 8.359883E-002, 8.016077E-002, 7.097396E-002
7.422365E-001, 8.386432E-002, 7.996061E-002, 7.222439E-002
7.530326E-001, 8.408644E-002, 7.955416E-002, 7.348390E-002
7.639857E-001, 8.426103E-002, 7.895377E-002, 7.475168E-002
7.750981E-001, 8.437654E-002, 7.817700E-002, 7.602688E-002
7.863722E-001, 8.443065E-002, 7.724652E-002, 7.730859E-002
7.978103E-001, 8.442109E-002, 7.618997E-002, 7.859582E-002
8.094147E-001, 8.434714E-002, 7.503958E-002, 7.988755E-002
8.211879E-001, 8.464532E-002, 7.383172E-002, 8.118263E-002
8.331323E-001, 8.493506E-002, 7.260621E-002, 8.247989E-002
8.452505E-001, 8.517063E-002, 7.140548E-002, 8.377804E-002
8.575450E-001, 8.535198E-002, 7.027353E-002, 8.507575E-002
8.700182E-001, 8.549711E-002, 6.925490E-002, 8.637159E-002
8.826730E-001, 8.558221E-002, 6.839329E-002, 8.766404E-002
8.955117E-001, 8.560509E-002, 6.787144E-002, 8.895151E-002
9.085372E-001, 8.556361E-002, 6.915057E-002, 9.023231E-002
9.217522E-001, 8.567151E-002, 7.027460E-002, 9.150466E-002
9.351594E-001, 8.590577E-002, 7.122368E-002, 9.276671E-002
9.487616E-001, 8.609492E-002, 7.198074E-002, 9.401648E-002
9.625617E-001, 8.645598E-002, 7.256692E-002, 9.525191E-002
9.765624E-001, 8.677133E-002, 7.352526E-002, 9.647086E-002
9.907669E-001, 8.707422E-002, 7.442548E-002, 9.767106E-002
1.005178E+000, 8.732408E-002, 7.514124E-002, 9.885016E-002
1.019799E+000, 8.751884E-002, 7.568406E-002, 1.000057E-001
1.034632E+000, 8.765747E-002, 7.689017E-002, 1.011351E-001
1.049681E+000, 8.774578E-002, 7.924069E-002, 1.022358E-001
