ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Signal  429
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 6.834918E-002, 5.363221E-002, 7.073282E-002
4.882812E-001, 6.867798E-002, 5.304100E-002, 7.147920E-002
4.953834E-001, 6.897413E-002, 5.240962E-002, 7.216467E-002
5.025890E-001, 6.923354E-002, 5.202395E-002, 7.278446E-002
5.098993E-001, 6.945463E-002, 5.211045E-002, 7.337046E-002
5.173159E-001, 6.963614E-002, 5.245046E-002, 7.421944E-002
5.248405E-001, 6.977831E-002, 5.276716E-002, 7.501156E-002
5.324745E-001, 6.988452E-002, 5.305887E-002, 7.573967E-002
5.402195E-001, 6.994794E-002, 5.332417E-002, 7.639852E-002
5.480772E-001, 6.996761E-002, 5.356237E-002, 7.698277E-002
5.560491E-001, 6.995328E-002, 5.377287E-002, 7.748695E-002
5.641370E-001, 6.990263E-002, 5.395517E-002, 7.790549E-002
5.723426E-001, 6.996651E-002, 5.410886E-002, 7.823275E-002
5.806675E-001, 7.013790E-002, 5.423363E-002, 7.846305E-002
5.891135E-001, 7.027107E-002, 5.432932E-002, 7.859068E-002
5.976824E-001, 7.036524E-002, 5.439587E-002, 7.860996E-002
6.063759E-001, 7.041977E-002, 5.443336E-002, 7.851525E-002
6.151958E-001, 7.043663E-002, 5.444206E-002, 7.830101E-002
6.241440E-001, 7.042196E-002, 5.443922E-002, 7.796185E-002
6.332224E-001, 7.037043E-002, 5.441026E-002, 7.749258E-002
6.424329E-001, 7.027808E-002, 5.435431E-002, 7.751274E-002
6.517773E-001, 7.014795E-002, 5.439487E-002, 7.962447E-002
6.612576E-001, 6.998046E-002, 5.607488E-002, 8.153545E-002
6.708758E-001, 6.986946E-002, 5.775189E-002, 8.330557E-002
6.806339E-001, 6.981532E-002, 5.941267E-002, 8.479604E-002
6.905339E-001, 6.972396E-002, 6.104433E-002, 8.600240E-002
7.005780E-001, 6.959572E-002, 6.263458E-002, 8.690295E-002
7.107681E-001, 6.943110E-002, 6.417197E-002, 8.912718E-002
7.211065E-001, 6.923074E-002, 6.564610E-002, 9.176281E-002
7.315952E-001, 6.901693E-002, 6.704791E-002, 9.443584E-002
7.422365E-001, 6.880107E-002, 6.836980E-002, 9.715051E-002
7.530326E-001, 6.855239E-002, 6.960587E-002, 9.989756E-002
7.639857E-001, 6.827272E-002, 7.075206E-002, 1.026738E-001
7.750981E-001, 6.796572E-002, 7.180623E-002, 1.054756E-001
7.863722E-001, 6.763038E-002, 7.276820E-002, 1.082993E-001
7.978103E-001, 6.726863E-002, 7.363979E-002, 1.111980E-001
8.094147E-001, 6.688263E-002, 7.442468E-002, 1.141232E-001
8.211879E-001, 6.647477E-002, 7.512836E-002, 1.170726E-001
8.331323E-001, 6.604763E-002, 7.575788E-002, 1.200345E-001
8.452505E-001, 6.560406E-002, 7.632156E-002, 1.230012E-001
8.575450E-001, 6.532741E-002, 7.682879E-002, 1.259665E-001
8.700182E-001, 6.505875E-002, 7.728950E-002, 1.292892E-001
8.826730E-001, 6.477128E-002, 7.771389E-002, 1.326645E-001
8.955117E-001, 6.446750E-002, 7.811194E-002, 1.360562E-001
9.085372E-001, 6.415087E-002, 7.849298E-002, 1.394584E-001
9.217522E-001, 6.382414E-002, 7.886532E-002, 1.428645E-001
9.351594E-001, 6.348968E-002, 7.923585E-002, 1.463700E-001
9.487616E-001, 6.315079E-002, 7.960977E-002, 1.498864E-001
9.625617E-001, 6.281102E-002, 7.999041E-002, 1.533953E-001
9.765624E-001, 6.247406E-002, 8.037915E-002, 1.568885E-001
9.907669E-001, 6.214377E-002, 8.077553E-002, 1.604329E-001
1.005178E+000, 6.182415E-002, 8.117751E-002, 1.639556E-001
1.019799E+000, 6.151932E-002, 8.158188E-002, 1.674596E-001
1.034632E+000, 6.123348E-002, 8.198491E-002, 1.709238E-001
1.049681E+000, 6.097087E-002, 8.238314E-002, 1.743327E-001
1.064949E+000, 6.073577E-002, 8.277431E-002, 1.776748E-001
1.080439E+000, 6.053242E-002, 8.315841E-002, 1.810936E-001
1.096154E+000, 6.036639E-002, 8.353877E-002, 1.844754E-001
1.112098E+000, 6.024097E-002, 8.392315E-002, 1.878215E-001
1.128274E+000, 6.015963E-002, 8.432472E-002, 1.911821E-001
1.144685E+000, 6.012601E-002, 8.476280E-002, 1.944583E-001
1.161335E+000, 6.014346E-002, 8.526338E-002, 1.976179E-001
1.178227E+000, 6.021496E-002, 8.585905E-002, 2.006463E-001
1.195365E+000, 6.034307E-002, 8.658863E-002, 2.035277E-001
1.212752E+000, 6.052988E-002, 8.749597E-002, 2.062461E-001
1.230392E+000, 6.077693E-002, 8.862823E-002, 2.088231E-001
1.248288E+000, 6.108513E-002, 9.003334E-002, 2.114518E-001
1.266445E+000, 6.145471E-002, 9.175691E-002, 2.183269E-001
1.284866E+000, 6.188517E-002, 9.383833E-002, 2.256721E-001
1.303555E+000, 6.237522E-002, 9.630657E-002, 2.312749E-001
1.322515E+000, 6.292268E-002, 9.917566E-002, 2.346858E-001
1.341752E+000, 6.352451E-002, 1.024401E-001, 2.402952E-001
1.361268E+000, 6.417673E-002, 1.060709E-001, 2.478694E-001
1.381068E+000, 6.487439E-002, 1.100118E-001, 2.528908E-001
1.401156E+000, 6.561158E-002, 1.141774E-001, 2.612404E-001
1.421536E+000, 6.638141E-002, 1.184521E-001, 2.735903E-001
1.442213E+000, 6.717606E-002, 1.226918E-001, 2.832939E-001
1.463190E+000, 6.798679E-002, 1.267599E-001, 2.960527E-001
1.484473E+000, 6.880399E-002, 1.304502E-001, 3.109008E-001
1.506065E+000, 6.961729E-002, 1.335566E-001, 3.228347E-001
1.527971E+000, 7.041565E-002, 1.358786E-001, 3.313766E-001
1.550196E+000, 7.118745E-002, 1.372894E-001, 3.369343E-001
1.572744E+000, 7.192072E-002, 1.386668E-001, 3.384473E-001
1.595621E+000, 7.260323E-002, 1.394647E-001, 3.384788E-001
1.618829E+000, 7.322451E-002, 1.409472E-001, 3.514832E-001
1.642376E+000, 7.377851E-002, 1.419766E-001, 3.632780E-001
1.666265E+000, 7.424677E-002, 1.417222E-001, 3.746607E-001
1.690501E+000, 7.462601E-002, 1.403340E-001, 3.850804E-001
1.715090E+000, 7.490900E-002, 1.390862E-001, 3.938325E-001
1.740036E+000, 7.513619E-002, 1.377997E-001, 4.008299E-001
1.765346E+000, 7.525442E-002, 1.363752E-001, 4.066916E-001
1.791023E+000, 7.525028E-002, 1.366271E-001, 4.107566E-001
1.817074E+000, 7.511579E-002, 1.354520E-001, 4.139273E-001
1.843504E+000, 7.484841E-002, 1.329410E-001, 4.224124E-001
1.870319E+000, 7.445188E-002, 1.292620E-001, 4.337632E-001
1.897523E+000, 7.394242E-002, 1.246502E-001, 4.443932E-001
1.925123E+000, 7.331439E-002, 1.193932E-001, 4.535896E-001
1.953125E+000, 7.256749E-002, 1.140132E-001, 4.617461E-001
1.981534E+000, 7.171287E-002, 1.103220E-001, 4.676597E-001
2.010356E+000, 7.076492E-002, 1.061572E-001, 4.728241E-001
2.039597E+000, 6.974120E-002, 1.018181E-001, 4.760580E-001
2.069264E+000, 6.866232E-002, 1.011058E-001, 4.781387E-001
2.099362E+000, 6.778266E-002, 1.022451E-001, 4.786343E-001
2.129898E+000, 6.723493E-002, 1.030194E-001, 4.784035E-001
2.160878E+000, 6.654602E-002, 1.034595E-001, 4.765556E-001
2.192309E+000, 6.572456E-002, 1.035470E-001, 4.733567E-001
2.224196E+000, 6.478259E-002, 1.034160E-001, 4.698833E-001
2.256548E+000, 6.373573E-002, 1.029386E-001, 5.037301E-001
2.289370E+000, 6.260313E-002, 1.020258E-001, 5.434508E-001
2.322670E+000, 6.140736E-002, 1.007274E-001, 5.789467E-001
