ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Signal  6412
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 3.266728E-002, 2.400198E-002, 8.052377E-002
4.882812E-001, 3.365121E-002, 2.415540E-002, 8.210134E-002
4.953834E-001, 3.469825E-002, 2.431054E-002, 8.371897E-002
5.025890E-001, 3.580398E-002, 2.445009E-002, 8.536834E-002
5.098993E-001, 3.696306E-002, 2.456863E-002, 8.705078E-002
5.173159E-001, 3.816925E-002, 2.466452E-002, 8.876467E-002
5.248405E-001, 3.941539E-002, 2.473610E-002, 9.050965E-002
5.324745E-001, 4.069340E-002, 2.478166E-002, 9.228526E-002
5.402195E-001, 4.199435E-002, 2.479950E-002, 9.409087E-002
5.480772E-001, 4.330846E-002, 2.478788E-002, 9.592573E-002
5.560491E-001, 4.462519E-002, 2.474596E-002, 9.778890E-002
5.641370E-001, 4.593330E-002, 2.467226E-002, 9.967928E-002
5.723426E-001, 4.722098E-002, 2.458171E-002, 1.015956E-001
5.806675E-001, 4.847597E-002, 2.478123E-002, 1.035363E-001
5.891135E-001, 4.968567E-002, 2.506544E-002, 1.054997E-001
5.976824E-001, 5.083735E-002, 2.533280E-002, 1.074906E-001
6.063759E-001, 5.191831E-002, 2.558372E-002, 1.095030E-001
6.151958E-001, 5.291609E-002, 2.582294E-002, 1.115518E-001
6.241440E-001, 5.381870E-002, 2.613457E-002, 1.136274E-001
6.332224E-001, 5.461486E-002, 2.643721E-002, 1.161522E-001
6.424329E-001, 5.529422E-002, 2.672088E-002, 1.213740E-001
6.517773E-001, 5.584766E-002, 2.698364E-002, 1.266396E-001
6.612576E-001, 5.632803E-002, 2.722351E-002, 1.321075E-001
6.708758E-001, 5.684972E-002, 2.746070E-002, 1.376755E-001
6.806339E-001, 5.724563E-002, 2.767462E-002, 1.432897E-001
6.905339E-001, 5.758698E-002, 2.786281E-002, 1.488844E-001
7.005780E-001, 5.782479E-002, 2.802249E-002, 1.544462E-001
7.107681E-001, 5.792677E-002, 2.816838E-002, 1.599484E-001
7.211065E-001, 5.790286E-002, 2.838925E-002, 1.654020E-001
7.315952E-001, 5.774607E-002, 2.860400E-002, 1.709010E-001
7.422365E-001, 5.747139E-002, 2.878938E-002, 1.764504E-001
7.530326E-001, 5.726250E-002, 2.894540E-002, 1.818845E-001
7.639857E-001, 5.695837E-002, 2.906742E-002, 1.871798E-001
7.750981E-001, 5.655316E-002, 2.939920E-002, 1.925074E-001
7.863722E-001, 5.608256E-002, 2.978108E-002, 1.976194E-001
7.978103E-001, 5.555710E-002, 3.015091E-002, 2.027473E-001
8.094147E-001, 5.499954E-002, 3.049938E-002, 2.076780E-001
8.211879E-001, 5.440335E-002, 3.082220E-002, 2.122953E-001
8.331323E-001, 5.378980E-002, 3.111950E-002, 2.165685E-001
8.452505E-001, 5.318128E-002, 3.138896E-002, 2.205509E-001
8.575450E-001, 5.260053E-002, 3.162725E-002, 2.244247E-001
8.700182E-001, 5.206995E-002, 3.183455E-002, 2.278676E-001
8.826730E-001, 5.161085E-002, 3.201347E-002, 2.308544E-001
8.955117E-001, 5.124258E-002, 3.216150E-002, 2.335016E-001
9.085372E-001, 5.098166E-002, 3.229298E-002, 2.359004E-001
9.217522E-001, 5.084093E-002, 3.238689E-002, 2.377990E-001
9.351594E-001, 5.082867E-002, 3.244211E-002, 2.395323E-001
9.487616E-001, 5.094781E-002, 3.256139E-002, 2.409330E-001
9.625617E-001, 5.120172E-002, 3.278382E-002, 2.420192E-001
9.765624E-001, 5.158120E-002, 3.297304E-002, 2.425389E-001
9.907669E-001, 5.207041E-002, 3.312808E-002, 2.423359E-001
1.005178E+000, 5.264743E-002, 3.324816E-002, 2.417251E-001
1.019799E+000, 5.328571E-002, 3.333278E-002, 2.405459E-001
1.034632E+000, 5.395029E-002, 3.338165E-002, 2.386950E-001
1.049681E+000, 5.490904E-002, 3.339477E-002, 2.362692E-001
1.064949E+000, 5.604634E-002, 3.337243E-002, 2.330515E-001
1.080439E+000, 5.721637E-002, 3.331522E-002, 2.390449E-001
1.096154E+000, 5.848420E-002, 3.322414E-002, 2.450558E-001
1.112098E+000, 5.977753E-002, 3.310395E-002, 2.499782E-001
1.128274E+000, 6.097592E-002, 3.295254E-002, 2.539864E-001
1.144685E+000, 6.249204E-002, 3.277173E-002, 2.576060E-001
1.161335E+000, 6.467609E-002, 3.256368E-002, 2.606999E-001
1.178227E+000, 6.683183E-002, 3.233083E-002, 2.633699E-001
1.195365E+000, 6.888767E-002, 3.207587E-002, 2.657540E-001
1.212752E+000, 7.079527E-002, 3.180301E-002, 2.671870E-001
1.230392E+000, 7.259646E-002, 3.151821E-002, 2.672469E-001
1.248288E+000, 7.426546E-002, 3.122028E-002, 2.665228E-001
1.266445E+000, 7.565927E-002, 3.091251E-002, 2.646104E-001
1.284866E+000, 7.673170E-002, 3.059825E-002, 2.624643E-001
1.303555E+000, 7.803357E-002, 3.028071E-002, 2.601863E-001
1.322515E+000, 7.921305E-002, 2.996300E-002, 2.569891E-001
1.341752E+000, 8.004615E-002, 2.966644E-002, 2.531042E-001
1.361268E+000, 8.047570E-002, 2.946791E-002, 2.485573E-001
1.381068E+000, 8.057493E-002, 2.927283E-002, 2.435253E-001
1.401156E+000, 8.040114E-002, 2.908381E-002, 2.382018E-001
1.421536E+000, 7.989733E-002, 2.890307E-002, 2.328185E-001
1.442213E+000, 7.919022E-002, 2.873226E-002, 2.385946E-001
1.463190E+000, 7.831677E-002, 2.861105E-002, 2.450051E-001
1.484473E+000, 7.762427E-002, 2.856310E-002, 2.515755E-001
1.506065E+000, 7.669693E-002, 2.921175E-002, 2.585215E-001
1.527971E+000, 7.559725E-002, 2.986817E-002, 2.654805E-001
1.550196E+000, 7.440202E-002, 3.043540E-002, 2.725218E-001
1.572744E+000, 7.318642E-002, 3.090688E-002, 2.796973E-001
1.595621E+000, 7.204780E-002, 3.128351E-002, 2.869042E-001
1.618829E+000, 7.108057E-002, 3.155706E-002, 2.941360E-001
1.642376E+000, 7.036881E-002, 3.170286E-002, 3.013726E-001
1.666265E+000, 6.997965E-002, 3.307076E-002, 3.086368E-001
1.690501E+000, 6.995708E-002, 3.485388E-002, 3.159746E-001
1.715090E+000, 7.031678E-002, 3.642650E-002, 3.233748E-001
1.740036E+000, 7.104243E-002, 3.773890E-002, 3.307439E-001
1.765346E+000, 7.208414E-002, 3.874613E-002, 3.379976E-001
1.791023E+000, 7.335928E-002, 3.941169E-002, 3.452716E-001
1.817074E+000, 7.476017E-002, 3.971142E-002, 3.524234E-001
1.843504E+000, 7.628632E-002, 3.963710E-002, 3.595720E-001
1.870319E+000, 7.781357E-002, 3.919948E-002, 3.671320E-001
1.897523E+000, 7.911124E-002, 3.842993E-002, 3.745367E-001
1.925123E+000, 8.005957E-002, 3.738049E-002, 3.817584E-001
1.953125E+000, 8.060782E-002, 3.612153E-002, 3.889014E-001
1.981534E+000, 8.072758E-002, 3.607496E-002, 3.958221E-001
2.010356E+000, 8.041623E-002, 3.693034E-002, 4.024932E-001
2.039597E+000, 7.982572E-002, 3.773491E-002, 4.089187E-001
2.069264E+000, 7.856531E-002, 3.846627E-002, 4.151796E-001
2.099362E+000, 7.694384E-002, 3.910038E-002, 4.212562E-001
2.129898E+000, 7.487618E-002, 3.961189E-002, 4.275367E-001
2.160878E+000, 7.244195E-002, 3.997466E-002, 4.336265E-001
2.192309E+000, 6.987233E-002, 4.027091E-002, 4.393105E-001
2.224196E+000, 6.891944E-002, 4.061195E-002, 4.446018E-001
2.256548E+000, 7.079934E-002, 4.076278E-002, 4.494044E-001
2.289370E+000, 7.270551E-002, 4.117829E-002, 4.537430E-001
2.322670E+000, 7.459447E-002, 4.187227E-002, 4.633010E-001
2.356454E+000, 7.617763E-002, 4.238612E-002, 4.932999E-001
2.390729E+000, 7.737286E-002, 4.267318E-002, 5.222248E-001
2.425503E+000, 7.818250E-002, 4.273365E-002, 5.512081E-001
2.460783E+000, 7.976634E-002, 4.252695E-002, 5.797325E-001
2.496576E+000, 8.488030E-002, 4.351459E-002, 6.078082E-001
2.532890E+000, 9.011105E-002, 4.493570E-002, 6.335229E-001
2.569731E+000, 9.547313E-002, 4.624327E-002, 6.584005E-001
2.607109E+000, 1.002145E-001, 4.733865E-002, 6.811544E-001
2.645030E+000, 1.046850E-001, 4.831684E-002, 7.024004E-001
2.683503E+000, 1.084882E-001, 4.907337E-002, 7.214766E-001
2.722536E+000, 1.113654E-001, 4.949522E-002, 7.378560E-001
2.762136E+000, 1.135879E-001, 4.957710E-002, 7.637649E-001
2.802312E+000, 1.145027E-001, 4.940249E-002, 7.903932E-001
2.843072E+000, 1.142787E-001, 4.931380E-002, 8.118502E-001
2.884426E+000, 1.136784E-001, 4.897537E-002, 8.287793E-001
2.926381E+000, 1.123509E-001, 4.927582E-002, 8.380198E-001
2.968946E+000, 1.099969E-001, 5.039727E-002, 8.402924E-001
3.012130E+000, 1.072147E-001, 5.141241E-002, 8.359195E-001
3.055943E+000, 1.038503E-001, 5.211807E-002, 8.280593E-001
3.100393E+000, 1.002576E-001, 5.244562E-002, 8.143307E-001
3.145489E+000, 9.682865E-002, 5.234962E-002, 7.948062E-001
3.191241E+000, 9.396448E-002, 5.188195E-002, 7.707872E-001
3.237659E+000, 9.190913E-002, 5.097943E-002, 7.439843E-001
3.284751E+000, 9.071650E-002, 4.965730E-002, 7.114594E-001
3.332529E+000, 9.025033E-002, 4.867749E-002, 6.795881E-001
3.381002E+000, 9.023028E-002, 4.829219E-002, 6.546971E-001
3.430180E+000, 9.028763E-002, 4.856034E-002, 6.271297E-001
3.480073E+000, 9.011101E-002, 4.866817E-002, 6.144167E-001
3.530692E+000, 8.968153E-002, 4.863439E-002, 6.027640E-001
3.582047E+000, 9.033456E-002, 4.813642E-002, 5.894327E-001
3.634149E+000, 9.099238E-002, 4.752444E-002, 5.749076E-001
3.687009E+000, 9.163014E-002, 4.807997E-002, 5.609409E-001
3.740638E+000, 9.226388E-002, 4.873286E-002, 5.457195E-001
