ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Signal  1247
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 3.097618E-001, 5.917361E-001, 4.944937E-002
4.882812E-001, 3.125268E-001, 6.025655E-001, 5.111656E-002
4.953834E-001, 3.152047E-001, 6.131613E-001, 5.278848E-002
5.025890E-001, 3.178299E-001, 6.239138E-001, 5.441267E-002
5.098993E-001, 3.204364E-001, 6.348274E-001, 5.598589E-002
5.173159E-001, 3.229899E-001, 6.457550E-001, 5.756880E-002
5.248405E-001, 3.254615E-001, 6.565663E-001, 5.918767E-002
5.324745E-001, 3.278435E-001, 6.672685E-001, 6.076587E-002
5.402195E-001, 3.301336E-001, 6.775790E-001, 6.232134E-002
5.480772E-001, 3.323530E-001, 6.876706E-001, 6.387138E-002
5.560491E-001, 3.344773E-001, 6.977999E-001, 6.550558E-002
5.641370E-001, 3.365030E-001, 7.079061E-001, 6.706319E-002
5.723426E-001, 3.384413E-001, 7.181093E-001, 6.854431E-002
5.806675E-001, 3.402810E-001, 7.284639E-001, 6.993555E-002
5.891135E-001, 3.420270E-001, 7.387691E-001, 7.132017E-002
5.976824E-001, 3.436612E-001, 7.489746E-001, 7.261699E-002
6.063759E-001, 3.452004E-001, 7.590943E-001, 7.403568E-002
6.151958E-001, 3.490001E-001, 7.692335E-001, 7.538746E-002
6.241440E-001, 3.529778E-001, 7.792462E-001, 7.675518E-002
6.332224E-001, 3.570051E-001, 7.893618E-001, 7.807922E-002
6.424329E-001, 3.608464E-001, 7.994643E-001, 7.934028E-002
6.517773E-001, 3.646862E-001, 8.096370E-001, 8.059705E-002
6.612576E-001, 3.683048E-001, 8.195819E-001, 8.174220E-002
6.708758E-001, 3.716751E-001, 8.294978E-001, 8.277178E-002
6.806339E-001, 3.750360E-001, 8.393050E-001, 8.371968E-002
6.905339E-001, 3.781928E-001, 8.488961E-001, 8.458710E-002
7.005780E-001, 3.810999E-001, 8.582695E-001, 8.536681E-002
7.107681E-001, 3.841016E-001, 8.676159E-001, 8.624431E-002
7.211065E-001, 3.870619E-001, 8.766702E-001, 8.727614E-002
7.315952E-001, 3.898747E-001, 8.854618E-001, 8.836113E-002
7.422365E-001, 3.924397E-001, 8.940775E-001, 8.933636E-002
7.530326E-001, 3.947285E-001, 9.025131E-001, 9.024913E-002
7.639857E-001, 3.969360E-001, 9.109435E-001, 9.108622E-002
7.750981E-001, 3.990384E-001, 9.191085E-001, 9.191462E-002
7.863722E-001, 4.008622E-001, 9.269490E-001, 9.296886E-002
7.978103E-001, 4.023776E-001, 9.347086E-001, 9.503916E-002
8.094147E-001, 4.037607E-001, 9.422473E-001, 9.672150E-002
