ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Signal  1124
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 1.307250E-001, 1.660682E-001, 9.909776E-002
4.882812E-001, 1.311189E-001, 1.640249E-001, 1.002769E-001
4.953834E-001, 1.314073E-001, 1.633851E-001, 1.014398E-001
5.025890E-001, 1.315856E-001, 1.641976E-001, 1.025857E-001
5.098993E-001, 1.319322E-001, 1.649035E-001, 1.037141E-001
5.173159E-001, 1.324511E-001, 1.658144E-001, 1.048243E-001
5.248405E-001, 1.329079E-001, 1.671497E-001, 1.059161E-001
5.324745E-001, 1.332693E-001, 1.684101E-001, 1.069891E-001
5.402195E-001, 1.335229E-001, 1.695982E-001, 1.080431E-001
5.480772E-001, 1.336641E-001, 1.707188E-001, 1.090782E-001
5.560491E-001, 1.338948E-001, 1.717552E-001, 1.100954E-001
5.641370E-001, 1.344241E-001, 1.727103E-001, 1.111022E-001
5.723426E-001, 1.349220E-001, 1.735634E-001, 1.120914E-001
5.806675E-001, 1.353259E-001, 1.743041E-001, 1.130638E-001
5.891135E-001, 1.356681E-001, 1.749347E-001, 1.140201E-001
5.976824E-001, 1.359169E-001, 1.759966E-001, 1.149615E-001
6.063759E-001, 1.360660E-001, 1.773980E-001, 1.158893E-001
6.151958E-001, 1.361080E-001, 1.787720E-001, 1.168051E-001
6.241440E-001, 1.360285E-001, 1.804306E-001, 1.177107E-001
6.332224E-001, 1.362009E-001, 1.821495E-001, 1.186081E-001
6.424329E-001, 1.363189E-001, 1.838091E-001, 1.194995E-001
6.517773E-001, 1.363496E-001, 1.854333E-001, 1.203875E-001
6.612576E-001, 1.362905E-001, 1.870090E-001, 1.212748E-001
6.708758E-001, 1.361624E-001, 1.885135E-001, 1.221644E-001
6.806339E-001, 1.359539E-001, 1.899292E-001, 1.230594E-001
6.905339E-001, 1.360060E-001, 1.912612E-001, 1.239632E-001
7.005780E-001, 1.360956E-001, 1.924978E-001, 1.248793E-001
7.107681E-001, 1.361193E-001, 1.936283E-001, 1.258115E-001
7.211065E-001, 1.360651E-001, 1.949725E-001, 1.267636E-001
