ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Signal  724
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 1.769136E-001, 1.496022E-001, 9.154605E-002
4.882812E-001, 1.777429E-001, 1.496888E-001, 9.091537E-002
4.953834E-001, 1.784678E-001, 1.496460E-001, 9.024630E-002
5.025890E-001, 1.791398E-001, 1.498697E-001, 8.954133E-002
5.098993E-001, 1.800970E-001, 1.502160E-001, 8.880334E-002
5.173159E-001, 1.809555E-001, 1.504381E-001, 8.803553E-002
5.248405E-001, 1.818227E-001, 1.505316E-001, 8.724149E-002
5.324745E-001, 1.826119E-001, 1.504920E-001, 8.642515E-002
5.402195E-001, 1.832937E-001, 1.503152E-001, 8.559084E-002
5.480772E-001, 1.839276E-001, 1.500261E-001, 8.474330E-002
5.560491E-001, 1.845196E-001, 1.498456E-001, 8.388764E-002
5.641370E-001, 1.849966E-001, 1.499595E-001, 8.302937E-002
5.723426E-001, 1.856491E-001, 1.499421E-001, 8.217441E-002
5.806675E-001, 1.865374E-001, 1.497894E-001, 8.132908E-002
5.891135E-001, 1.873692E-001, 1.495033E-001, 8.050007E-002
5.976824E-001, 1.880967E-001, 1.490792E-001, 7.969446E-002
6.063759E-001, 1.887248E-001, 1.489476E-001, 7.891972E-002
6.151958E-001, 1.892386E-001, 1.488156E-001, 7.818361E-002
6.241440E-001, 1.896338E-001, 1.488364E-001, 7.749429E-002
6.332224E-001, 1.899062E-001, 1.488366E-001, 7.759702E-002
6.424329E-001, 1.900965E-001, 1.487039E-001, 7.861315E-002
6.517773E-001, 1.902608E-001, 1.484347E-001, 7.963203E-002
6.612576E-001, 1.907748E-001, 1.481601E-001, 8.065309E-002
6.708758E-001, 1.916365E-001, 1.482688E-001, 8.167575E-002
6.806339E-001, 1.924027E-001, 1.484921E-001, 8.269940E-002
6.905339E-001, 1.930626E-001, 1.490535E-001, 8.372337E-002
7.005780E-001, 1.936123E-001, 1.495043E-001, 8.474699E-002
7.107681E-001, 1.940481E-001, 1.498406E-001, 8.576956E-002
7.211065E-001, 1.943663E-001, 1.500582E-001, 8.679033E-002
7.315952E-001, 1.945865E-001, 1.501616E-001, 8.780854E-002
7.422365E-001, 1.947701E-001, 1.501441E-001, 8.882339E-002
7.530326E-001, 1.948297E-001, 1.501166E-001, 8.983405E-002
7.639857E-001, 1.947625E-001, 1.503092E-001, 9.083965E-002
7.750981E-001, 1.945661E-001, 1.518257E-001, 9.183931E-002
7.863722E-001, 1.942399E-001, 1.545300E-001, 9.283209E-002
7.978103E-001, 1.937928E-001, 1.566521E-001, 9.381704E-002
8.094147E-001, 1.932302E-001, 1.585132E-001, 9.479318E-002
8.211879E-001, 1.925561E-001, 1.612407E-001, 9.575948E-002
8.331323E-001, 1.917463E-001, 1.633846E-001, 9.671489E-002
8.452505E-001, 1.914132E-001, 1.654604E-001, 9.939668E-002
8.575450E-001, 1.910404E-001, 1.677241E-001, 1.021765E-001
8.700182E-001, 1.905394E-001, 1.695274E-001, 1.050229E-001
8.826730E-001, 1.899096E-001, 1.707846E-001, 1.079141E-001
8.955117E-001, 1.891506E-001, 1.715436E-001, 1.108263E-001
9.085372E-001, 1.882626E-001, 1.717292E-001, 1.137336E-001
9.217522E-001, 1.872462E-001, 1.713729E-001, 1.166083E-001
9.351594E-001, 1.861029E-001, 1.705852E-001, 1.194208E-001
9.487616E-001, 1.849046E-001, 1.694276E-001, 1.221401E-001
9.625617E-001, 1.837306E-001, 1.679966E-001, 1.247339E-001
9.765624E-001, 1.824346E-001, 1.662089E-001, 1.271693E-001
9.907669E-001, 1.810409E-001, 1.641152E-001, 1.294125E-001
1.005178E+000, 1.799808E-001, 1.617949E-001, 1.314300E-001
1.019799E+000, 1.790547E-001, 1.593440E-001, 1.331887E-001
1.034632E+000, 1.780177E-001, 1.570784E-001, 1.353682E-001
1.049681E+000, 1.768662E-001, 1.551813E-001, 1.386856E-001
1.064949E+000, 1.755988E-001, 1.532570E-001, 1.418597E-001
1.080439E+000, 1.742184E-001, 1.513935E-001, 1.452764E-001
1.096154E+000, 1.727292E-001, 1.496769E-001, 1.519085E-001
1.112098E+000, 1.711358E-001, 1.481885E-001, 1.582894E-001
1.128274E+000, 1.694435E-001, 1.470011E-001, 1.649452E-001
1.144685E+000, 1.677744E-001, 1.461768E-001, 1.712171E-001
1.161335E+000, 1.660227E-001, 1.457636E-001, 1.772869E-001
1.178227E+000, 1.649137E-001, 1.457929E-001, 1.829330E-001
1.195365E+000, 1.637927E-001, 1.462777E-001, 1.877587E-001
1.212752E+000, 1.625535E-001, 1.472106E-001, 1.916832E-001
1.230392E+000, 1.611982E-001, 1.485634E-001, 1.946143E-001
1.248288E+000, 1.597297E-001, 1.502872E-001, 1.964803E-001
1.266445E+000, 1.581515E-001, 1.523130E-001, 2.001518E-001
1.284866E+000, 1.564680E-001, 1.545541E-001, 2.044699E-001
1.303555E+000, 1.546842E-001, 1.569088E-001, 2.077402E-001
1.322515E+000, 1.528062E-001, 1.592768E-001, 2.099334E-001
1.341752E+000, 1.508406E-001, 1.616281E-001, 2.110919E-001
1.361268E+000, 1.489575E-001, 1.640335E-001, 2.112660E-001
1.381068E+000, 1.479221E-001, 1.663462E-001, 2.105059E-001
1.401156E+000, 1.470029E-001, 1.682997E-001, 2.089701E-001
1.421536E+000, 1.481488E-001, 1.697937E-001, 2.070281E-001
1.442213E+000, 1.489208E-001, 1.711075E-001, 2.047339E-001
