ÒSaverXware Event SRS Export File
Generated From: C:\PROGRAM FILES (X86)\LANSMONT\SAVERXWARE\DataStore\EventDatabase.SXe
Event: Signal  26
Active Channel Code: 7
Freq (Hz), CH1 SRS (G's), CH2 SRS (G's), CH3 SRS (G's)
4.812808E-001, 4.537631E-002, 1.080509E-001, 1.485398E-001
4.882812E-001, 4.543385E-002, 1.085553E-001, 1.493693E-001
4.953834E-001, 4.546943E-002, 1.089962E-001, 1.500635E-001
5.025890E-001, 4.548321E-002, 1.093704E-001, 1.506172E-001
5.098993E-001, 4.547548E-002, 1.100389E-001, 1.510257E-001
5.173159E-001, 4.544666E-002, 1.107047E-001, 1.512849E-001
5.248405E-001, 4.539729E-002, 1.113216E-001, 1.514153E-001
5.324745E-001, 4.532815E-002, 1.118831E-001, 1.514185E-001
5.402195E-001, 4.524112E-002, 1.123952E-001, 1.512638E-001
5.480772E-001, 4.513606E-002, 1.129098E-001, 1.509492E-001
5.560491E-001, 4.501410E-002, 1.134338E-001, 1.505279E-001
5.641370E-001, 4.487659E-002, 1.139295E-001, 1.504077E-001
5.723426E-001, 4.472503E-002, 1.143632E-001, 1.501294E-001
5.806675E-001, 4.456108E-002, 1.147508E-001, 1.496921E-001
5.891135E-001, 4.438663E-002, 1.152745E-001, 1.490956E-001
5.976824E-001, 4.420370E-002, 1.157408E-001, 1.483404E-001
6.063759E-001, 4.401452E-002, 1.161419E-001, 1.474286E-001
6.151958E-001, 4.382150E-002, 1.164978E-001, 1.463630E-001
6.241440E-001, 4.362722E-002, 1.168005E-001, 1.451478E-001
6.332224E-001, 4.343442E-002, 1.170363E-001, 1.437886E-001
6.424329E-001, 4.324602E-002, 1.175635E-001, 1.422923E-001
6.517773E-001, 4.306509E-002, 1.180437E-001, 1.406673E-001
6.612576E-001, 4.289481E-002, 1.184526E-001, 1.389234E-001
6.708758E-001, 4.273851E-002, 1.188588E-001, 1.370723E-001
6.806339E-001, 4.259960E-002, 1.193376E-001, 1.351271E-001
6.905339E-001, 4.248158E-002, 1.201133E-001, 1.331028E-001
7.005780E-001, 4.238798E-002, 1.208360E-001, 1.310160E-001
7.107681E-001, 4.232237E-002, 1.215013E-001, 1.288851E-001
7.211065E-001, 4.228829E-002, 1.221121E-001, 1.267301E-001
7.315952E-001, 4.228922E-002, 1.226842E-001, 1.245730E-001
7.422365E-001, 4.232854E-002, 1.231862E-001, 1.224373E-001
7.530326E-001, 4.240951E-002, 1.236234E-001, 1.203480E-001
7.639857E-001, 4.253516E-002, 1.240780E-001, 1.183316E-001
7.750981E-001, 4.270829E-002, 1.242927E-001, 1.164162E-001
7.863722E-001, 4.293139E-002, 1.249042E-001, 1.146308E-001
7.978103E-001, 4.320656E-002, 1.252121E-001, 1.130055E-001
8.094147E-001, 4.353550E-002, 1.258035E-001, 1.115710E-001
8.211879E-001, 4.391943E-002, 1.263239E-001, 1.103586E-001
8.331323E-001, 4.435975E-002, 1.267695E-001, 1.093997E-001
8.452505E-001, 4.485549E-002, 1.271388E-001, 1.087252E-001
8.575450E-001, 4.540585E-002, 1.279735E-001, 1.083656E-001
8.700182E-001, 4.600932E-002, 1.289218E-001, 1.102918E-001
8.826730E-001, 4.666352E-002, 1.298152E-001, 1.121544E-001
8.955117E-001, 4.736517E-002, 1.306501E-001, 1.139379E-001
9.085372E-001, 4.811006E-002, 1.314230E-001, 1.156846E-001
9.217522E-001, 4.889299E-002, 1.321305E-001, 1.173566E-001
9.351594E-001, 4.970942E-002, 1.327689E-001, 1.189414E-001
9.487616E-001, 5.055086E-002, 1.333448E-001, 1.209710E-001
9.625617E-001, 5.140899E-002, 1.338468E-001, 1.238934E-001
9.765624E-001, 5.227436E-002, 1.342694E-001, 1.279900E-001
9.907669E-001, 5.313650E-002, 1.346088E-001, 1.324228E-001
1.005178E+000, 5.398389E-002, 1.348615E-001, 1.371512E-001
1.019799E+000, 5.480405E-002, 1.350237E-001, 1.421265E-001
1.034632E+000, 5.560957E-002, 1.350956E-001, 1.472916E-001
1.049681E+000, 5.669184E-002, 1.350808E-001, 1.525815E-001
1.064949E+000, 5.775713E-002, 1.349655E-001, 1.579233E-001
1.080439E+000, 5.879171E-002, 1.347464E-001, 1.632372E-001
1.096154E+000, 5.978090E-002, 1.344202E-001, 1.684663E-001
1.112098E+000, 6.070924E-002, 1.339839E-001, 1.736466E-001
1.128274E+000, 6.156056E-002, 1.334345E-001, 1.789917E-001
1.144685E+000, 6.231824E-002, 1.328025E-001, 1.855417E-001
1.161335E+000, 6.296536E-002, 1.326946E-001, 1.919668E-001
1.178227E+000, 6.348496E-002, 1.327769E-001, 1.981691E-001
1.195365E+000, 6.386027E-002, 1.327704E-001, 2.040471E-001
1.212752E+000, 6.445685E-002, 1.326630E-001, 2.094971E-001
1.230392E+000, 6.550161E-002, 1.324512E-001, 2.144155E-001
1.248288E+000, 6.643675E-002, 1.321366E-001, 2.187007E-001
1.266445E+000, 6.723933E-002, 1.324878E-001, 2.222557E-001
1.284866E+000, 6.789097E-002, 1.330138E-001, 2.249907E-001
1.303555E+000, 6.837377E-002, 1.334694E-001, 2.268261E-001
1.322515E+000, 6.867062E-002, 1.338482E-001, 2.276948E-001
1.341752E+000, 6.876557E-002, 1.341394E-001, 2.275564E-001
1.361268E+000, 6.864417E-002, 1.343567E-001, 2.294243E-001
1.381068E+000, 6.829388E-002, 1.344815E-001, 2.317683E-001
1.401156E+000, 6.770449E-002, 1.345238E-001, 2.331198E-001
1.421536E+000, 6.914917E-002, 1.344639E-001, 2.335773E-001
1.442213E+000, 7.058229E-002, 1.342979E-001, 2.331371E-001
1.463190E+000, 7.187029E-002, 1.340219E-001, 2.318418E-001
1.484473E+000, 7.299396E-002, 1.336320E-001, 2.306547E-001
1.506065E+000, 7.393496E-002, 1.331304E-001, 2.308666E-001
1.527971E+000, 7.467613E-002, 1.328596E-001, 2.300009E-001
1.550196E+000, 7.521879E-002, 1.338181E-001, 2.280743E-001
1.572744E+000, 7.554220E-002, 1.348262E-001, 2.251322E-001
1.595621E+000, 7.562664E-002, 1.357749E-001, 2.212512E-001
1.618829E+000, 7.562833E-002, 1.366650E-001, 2.165394E-001
1.642376E+000, 7.639830E-002, 1.375070E-001, 2.122530E-001
1.666265E+000, 7.694627E-002, 1.382788E-001, 2.191290E-001
1.690501E+000, 7.745491E-002, 1.389762E-001, 2.261387E-001
1.715090E+000, 7.795722E-002, 1.396161E-001, 2.332651E-001
1.740036E+000, 7.824723E-002, 1.402867E-001, 2.404525E-001
1.765346E+000, 7.832161E-002, 1.408766E-001, 2.476890E-001
1.791023E+000, 7.817169E-002, 1.413814E-001, 2.549619E-001
1.817074E+000, 7.778642E-002, 1.417969E-001, 2.622572E-001
1.843504E+000, 7.717197E-002, 1.421185E-001, 2.696054E-001
1.870319E+000, 7.634815E-002, 1.423524E-001, 2.769638E-001
1.897523E+000, 7.533401E-002, 1.425047E-001, 2.843022E-001
1.925123E+000, 7.502855E-002, 1.425514E-001, 2.916026E-001
1.953125E+000, 7.475287E-002, 1.426055E-001, 2.988452E-001
1.981534E+000, 7.429603E-002, 1.434167E-001, 3.060732E-001
2.010356E+000, 7.365883E-002, 1.441516E-001, 3.134025E-001
2.039597E+000, 7.285575E-002, 1.448322E-001, 3.206427E-001
2.069264E+000, 7.191035E-002, 1.454277E-001, 3.278436E-001
2.099362E+000, 7.090317E-002, 1.459334E-001, 3.351778E-001
2.129898E+000, 6.982629E-002, 1.463448E-001, 3.424843E-001
2.160878E+000, 6.868603E-002, 1.467171E-001, 3.496322E-001
2.192309E+000, 6.751771E-002, 1.470230E-001, 3.565949E-001
2.224196E+000, 6.635845E-002, 1.472286E-001, 3.633447E-001
2.256548E+000, 6.524628E-002, 1.473529E-001, 3.698531E-001
2.289370E+000, 6.421911E-002, 1.473637E-001, 3.760905E-001
2.322670E+000, 6.331361E-002, 1.472563E-001, 3.820263E-001
2.356454E+000, 6.256393E-002, 1.470257E-001, 3.877276E-001
2.390729E+000, 6.200046E-002, 1.466671E-001, 3.931189E-001
2.425503E+000, 6.164846E-002, 1.462009E-001, 3.981967E-001
2.460783E+000, 6.152684E-002, 1.456084E-001, 4.032641E-001
2.496576E+000, 6.164687E-002, 1.448747E-001, 4.080383E-001
2.532890E+000, 6.201386E-002, 1.439953E-001, 4.123962E-001
2.569731E+000, 6.303062E-002, 1.429659E-001, 4.162745E-001
2.607109E+000, 6.419151E-002, 1.418054E-001, 4.198786E-001
2.645030E+000, 6.543514E-002, 1.432948E-001, 4.234327E-001
2.683503E+000, 6.672063E-002, 1.448917E-001, 4.360271E-001
2.722536E+000, 6.814475E-002, 1.464590E-001, 4.593814E-001
2.762136E+000, 7.078909E-002, 1.480185E-001, 4.881541E-001
2.802312E+000, 7.354156E-002, 1.496112E-001, 5.166186E-001
2.843072E+000, 7.631380E-002, 1.511770E-001, 5.463637E-001
2.884426E+000, 7.899568E-002, 1.526942E-001, 5.761076E-001
2.926381E+000, 8.186221E-002, 1.541582E-001, 6.054453E-001
2.968946E+000, 8.465187E-002, 1.557806E-001, 6.335394E-001
3.012130E+000, 8.706844E-002, 1.574669E-001, 6.606804E-001
3.055943E+000, 8.897740E-002, 1.591061E-001, 6.857036E-001
3.100393E+000, 9.026046E-002, 1.606934E-001, 7.097748E-001
3.145489E+000, 9.097147E-002, 1.622556E-001, 7.339663E-001
3.191241E+000, 9.108092E-002, 1.637882E-001, 7.555368E-001
3.237659E+000, 9.309334E-002, 1.652577E-001, 7.741491E-001
3.284751E+000, 9.794383E-002, 1.668277E-001, 7.903123E-001
3.332529E+000, 1.018015E-001, 1.685029E-001, 8.051412E-001
3.381002E+000, 1.043676E-001, 1.701190E-001, 8.169141E-001
3.430180E+000, 1.056601E-001, 1.716707E-001, 8.246994E-001
3.480073E+000, 1.065874E-001, 1.731525E-001, 8.291656E-001
3.530692E+000, 1.074378E-001, 1.745586E-001, 8.341131E-001
3.582047E+000, 1.093118E-001, 1.758830E-001, 8.374335E-001
3.634149E+000, 1.114289E-001, 1.772024E-001, 8.372943E-001
3.687009E+000, 1.130539E-001, 1.784345E-001, 8.335154E-001
3.740638E+000, 1.141628E-001, 1.798893E-001, 8.314831E-001
3.795047E+000, 1.148562E-001, 1.821974E-001, 8.280979E-001
3.850247E+000, 1.152291E-001, 1.846341E-001, 8.213700E-001
3.906250E+000, 1.152404E-001, 1.892410E-001, 8.187976E-001
3.963068E+000, 1.147467E-001, 1.919035E-001, 8.181038E-001
4.020712E+000, 1.137802E-001, 1.930242E-001, 8.151054E-001
4.079194E+000, 1.119476E-001, 1.958740E-001, 8.144267E-001
4.138527E+000, 1.092084E-001, 1.987126E-001, 8.117747E-001
4.198724E+000, 1.085602E-001, 2.015361E-001, 8.095815E-001
4.259796E+000, 1.088857E-001, 2.044340E-001, 8.096884E-001
4.321756E+000, 1.092710E-001, 2.074313E-001, 8.094274E-001
4.384617E+000, 1.082515E-001, 2.104724E-001, 8.082622E-001
4.448393E+000, 1.068765E-001, 2.135001E-001, 8.062278E-001
4.513096E+000, 1.098835E-001, 2.165408E-001, 8.037169E-001
4.578741E+000, 1.138417E-001, 2.197230E-001, 8.009261E-001
4.645340E+000, 1.173329E-001, 2.229716E-001, 7.998291E-001
4.712908E+000, 1.205187E-001, 2.262217E-001, 7.987512E-001
4.781459E+000, 1.236491E-001, 2.294565E-001, 7.978883E-001
4.851007E+000, 1.265076E-001, 2.326715E-001, 7.974706E-001
4.921566E+000, 1.291844E-001, 2.358620E-001, 7.970443E-001
4.993152E+000, 1.317434E-001, 2.390451E-001, 7.984341E-001
5.065779E+000, 1.341953E-001, 2.422906E-001, 8.004345E-001
5.139463E+000, 1.364824E-001, 2.455037E-001, 8.016540E-001
5.214218E+000, 1.384775E-001, 2.486790E-001, 8.017144E-001
5.290061E+000, 1.401224E-001, 2.518121E-001, 8.001812E-001
